"PID","type","value","weight","val_num"
209608,"uspaper","freedom",20,1
209608,"uspaper","protection",20,2
209608,"uspaper","independence",20,3
209608,"uspaper","security",20,4
209608,"uspaper","acceptance",20,5
209608,"uspractice","racism",20,6
209608,"uspractice","exclusion",20,7
209608,"uspractice","extortion",20,8
209608,"uspractice","socialism",20,9
209608,"uspractice","extremism",20,10
530934,"uspaper","democracy",20,1
530934,"uspaper","equality",20,2
530934,"uspaper","individualism",20,3
530934,"uspaper","informality",20,4
530934,"uspaper","achievement",20,5
530934,"uspractice","progress",20,6
530934,"uspractice","change",20,7
530934,"uspractice","liberty",20,8
530934,"uspractice","diversity",20,9
530934,"uspractice","action",20,10
229866,"uspaper","freedom",30,1
229866,"uspaper","independence",20,2
229866,"uspaper","strength",15,3
229866,"uspaper","equality",25,4
229866,"uspaper","innovation",10,5
229866,"uspractice","freedom of speech",20,6
229866,"uspractice","freedom of religion",20,7
229866,"uspractice","right to bear arms",20,8
229866,"uspractice","right to peaceably assemble",20,9
229866,"uspractice","equality",20,10
332453,"uspaper","hard-working",30,1
332453,"uspaper","honest",20,2
332453,"uspaper","open",10,3
332453,"uspaper","innovative",15,4
332453,"uspaper","leadership",25,5
332453,"uspractice","individualism",20,6
332453,"uspractice","liberty",20,7
332453,"uspractice","democracy",20,8
332453,"uspractice","opportunity",20,9
332453,"uspractice","international leadership",20,10
192483,"uspaper","liberty",21,1
192483,"uspaper","justice",20,2
192483,"uspaper","freedom",27,3
192483,"uspaper","truth",16,4
192483,"uspaper","fairness",16,5
192483,"uspractice","freedom",21,6
192483,"uspractice","democracy",25,7
192483,"uspractice","wealth",20,8
192483,"uspractice","business",20,9
192483,"uspractice","dreams",14,10
564869,"uspaper","freedom",24,1
564869,"uspaper","having a democracy",19,2
564869,"uspaper","pursuit of happiness",19,3
564869,"uspaper","melting pot",23,4
564869,"uspaper","many opportunities",15,5
564869,"uspractice","patriotism",27,6
564869,"uspractice","christian",11,7
564869,"uspractice","racially ambiguous",36,8
564869,"uspractice","many jobs",13,9
564869,"uspractice","lots of family",13,10
853878,"uspaper","freedom",15,1
853878,"uspaper","opportunity",20,2
853878,"uspaper","equality",25,3
853878,"uspaper","free of persecution",25,4
853878,"uspaper","unity",15,5
853878,"uspractice","discrimination",10,6
853878,"uspractice","warmongering",10,7
853878,"uspractice","exploitation",10,8
853878,"uspractice","capitalism",60,9
853878,"uspractice","oppression",10,10
779344,"uspaper","freedom",40,1
779344,"uspaper","opportunity",30,2
779344,"uspaper","family",5,3
779344,"uspaper","ownership",15,4
779344,"uspaper","democracy",10,5
779344,"uspractice","democracy",10,6
779344,"uspractice","capitalism",60,7
779344,"uspractice","greed",5,8
779344,"uspractice","leadership",10,9
779344,"uspractice","competition",15,10
284807,"uspaper","freedom",34,1
284807,"uspaper","equality",33,2
284807,"uspaper","friendliness",7,3
284807,"uspaper","compassion",15,4
284807,"uspaper","understanding",11,5
284807,"uspractice","kindness",30,6
284807,"uspractice","compassion",28,7
284807,"uspractice","understanding",6,8
284807,"uspractice","family",18,9
284807,"uspractice","openness",18,10
690266,"uspaper","honesty",17,1
690266,"uspaper","honor",21,2
690266,"uspaper","morality",17,3
690266,"uspaper","ethical",22,4
690266,"uspaper","freedom",23,5
690266,"uspractice","greed",24,6
690266,"uspractice","control",22,7
690266,"uspractice","selfish",23,8
690266,"uspractice","power",24,9
690266,"uspractice","manipulation",7,10
705421,"uspaper","freedom of speech",20,1
705421,"uspaper","ability to own land",20,2
705421,"uspaper","ability to vote",20,3
705421,"uspaper","democracy",20,4
705421,"uspaper","equality",20,5
705421,"uspractice","individualism",20,6
705421,"uspractice","equality",20,7
705421,"uspractice","unity",20,8
705421,"uspractice","self government",20,9
705421,"uspractice","self reliance",20,10
742126,"uspaper","religious freedom",20,1
742126,"uspaper","freedom of speech",20,2
742126,"uspaper","right to bear arms",25,3
742126,"uspaper","freedom to own property",31,4
742126,"uspaper","freedom to speak",4,5
742126,"uspractice","religious freedom",33,6
742126,"uspractice","capitalism",17,7
742126,"uspractice","medical care",26,8
742126,"uspractice","freedom of speech",11,9
742126,"uspractice","right to bear arms",13,10
878405,"uspaper","freedom of speech",24,1
878405,"uspaper","acceptance of all",19,2
878405,"uspaper","opportunities for jobs",21,3
878405,"uspaper","strong military",18,4
878405,"uspaper","protection of citizens",18,5
878405,"uspractice","safety for all",10,6
878405,"uspractice","make money",40,7
878405,"uspractice","create things",16,8
878405,"uspractice","freedom of all",13,9
878405,"uspractice","democracy",21,10
905901,"uspaper","liberty",20,1
905901,"uspaper","equality",20,2
905901,"uspaper","justice",20,3
905901,"uspaper","democracy",20,4
905901,"uspaper","individualism",20,5
905901,"uspractice","opportunity",20,6
905901,"uspractice","innovation",20,7
905901,"uspractice","diversity",20,8
905901,"uspractice","leadership",20,9
905901,"uspractice","freedom",20,10
497668,"uspaper","freedom",27,1
497668,"uspaper","right to disagree",8,2
497668,"uspaper","democracy",9,3
497668,"uspaper","rights as citizen",18,4
497668,"uspaper","basic human rights",38,5
497668,"uspractice","freedom",39,6
497668,"uspractice","democracy",6,7
497668,"uspractice","liberty",19,8
497668,"uspractice","family",28,9
497668,"uspractice","right to protest",8,10
916430,"uspaper","self-determination",20,1
916430,"uspaper","care for others",14,2
916430,"uspaper","independence",19,3
916430,"uspaper","moral duty",27,4
916430,"uspaper","free markets",20,5
916430,"uspractice","avarice",21,6
916430,"uspractice","self-flagellation",19,7
916430,"uspractice","homosexual imperialism",19,8
916430,"uspractice","lust",18,9
916430,"uspractice","selfishness",23,10
634241,"uspaper","bear arms",30,1
634241,"uspaper","right to vote",29,2
634241,"uspaper","anti discrimination",0,3
634241,"uspaper","right to education",29,4
634241,"uspaper","land ownership",12,5
634241,"uspractice","freedom",30,6
634241,"uspractice","democracy",49,7
634241,"uspractice","business growth",10,8
634241,"uspractice","opportunities",11,9
634241,"uspractice","dei and lgbtq",0,10
206064,"uspaper","liberty",20,1
206064,"uspaper","equality",20,2
206064,"uspaper","justice",20,3
206064,"uspaper","fairness of taxation",20,4
206064,"uspaper","progress",20,5
206064,"uspractice","liberty",20,6
206064,"uspractice","profitablity",20,7
206064,"uspractice","mobility",20,8
206064,"uspractice","consumerism",20,9
206064,"uspractice","power",20,10
935556,"uspaper","freedom",40,1
935556,"uspaper","equality",30,2
935556,"uspaper","justice",20,3
935556,"uspaper","protection",5,4
935556,"uspaper","prosperity",5,5
935556,"uspractice","capitalism",30,6
935556,"uspractice","freedom",5,7
935556,"uspractice","dominance",14,8
935556,"uspractice","power",26,9
935556,"uspractice","force",25,10
707228,"uspaper","life",14,1
707228,"uspaper","liberty",25,2
707228,"uspaper","happiness",12,3
707228,"uspaper","democracy",31,4
707228,"uspaper","freedom",18,5
707228,"uspractice","capitalism",32,6
707228,"uspractice","military policing",24,7
707228,"uspractice","control",4,8
707228,"uspractice","guns",12,9
707228,"uspractice","the rich",28,10
118718,"uspaper","freedom",15,1
118718,"uspaper","liberty",15,2
118718,"uspaper","justice",5,3
118718,"uspaper","opportunity",15,4
118718,"uspaper","strength",50,5
118718,"uspractice","strength",25,6
118718,"uspractice","imperialism",25,7
118718,"uspractice","patriotism",5,8
118718,"uspractice","prey on weak",20,9
118718,"uspractice","reward the rich",25,10
703729,"uspaper","inclusivity",20,1
703729,"uspaper","justice",20,2
703729,"uspaper","liberty",20,3
703729,"uspaper","sovereignty",20,4
703729,"uspaper","money",20,5
703729,"uspractice","equality",20,6
703729,"uspractice","success",20,7
703729,"uspractice","hard-work",20,8
703729,"uspractice","perseverance",20,9
703729,"uspractice","sacrifice",20,10
999784,"uspaper","guns",20,1
999784,"uspaper","religious freedom",20,2
999784,"uspaper","freedom of speech",20,3
999784,"uspaper","independance",20,4
999784,"uspaper","privacy",20,5
999784,"uspractice","religious freedom",20,6
999784,"uspractice","freedom of speech",20,7
999784,"uspractice","gun carrying",20,8
999784,"uspractice","right of privacy",20,9
999784,"uspractice","democratic voting",20,10
402392,"uspaper","freedom of speech",50,1
402392,"uspaper","freedom of religion",20,2
402392,"uspaper","freedom to move",11,3
402392,"uspaper","freedom of work",9,4
402392,"uspaper","freedom to purchase",10,5
402392,"uspractice","speaking your mind",50,6
402392,"uspractice","personal religion",20,7
402392,"uspractice","work anywhere",10,8
402392,"uspractice","live anywhere",10,9
402392,"uspractice","buy anything",10,10
478597,"uspaper","",NA,1
478597,"uspaper","",NA,2
478597,"uspaper","",NA,3
478597,"uspaper","",NA,4
478597,"uspaper","",NA,5
478597,"uspractice","",NA,6
478597,"uspractice","",NA,7
478597,"uspractice","",NA,8
478597,"uspractice","",NA,9
478597,"uspractice","",NA,10
213130,"uspaper","persuit of happiness",32,1
213130,"uspaper","freedom",29,2
213130,"uspaper","individualism",21,3
213130,"uspaper","equality",7,4
213130,"uspaper","democracy",11,5
213130,"uspractice","capitalism",36,6
213130,"uspractice","diversity",14,7
213130,"uspractice","global leadership",12,8
213130,"uspractice","freedom of speech",26,9
213130,"uspractice","individual rights",12,10
758002,"uspaper","freedom",50,1
758002,"uspaper","equal rights",10,2
758002,"uspaper","safety",30,3
758002,"uspaper","happiness",5,4
