"PID","value","type","weight","score","weighted_score"
705404,"democracy","paper",22,49,10.78
705404,"equality","paper",15,38,5.7
705404,"freedom","paper",26,63,16.38
705404,"individualism","paper",8,72,5.76
705404,"justice","paper",7,22,1.54
705404,"happiness","paper",17,31,5.27
705404,"arms","paper",1,15,0.15
705404,"tolerance","paper",4,13,0.52
705404,"democracy","ideal",20,49,9.8
705404,"equality","ideal",5,38,1.9
705404,"freedom","ideal",16,63,10.08
705404,"individualism","ideal",24,72,17.28
705404,"justice","ideal",10,22,2.2
705404,"happiness","ideal",9,31,2.79
705404,"arms","ideal",2,15,0.3
705404,"tolerance","ideal",14,13,1.82
914223,"democracy","paper",13,51,6.63
914223,"equality","paper",4,13,0.52
914223,"freedom","paper",12,32,3.84
914223,"individualism","paper",8,81,6.48
914223,"justice","paper",3,15,0.45
914223,"happiness","paper",0,10,0
914223,"arms","paper",54,89,48.06
914223,"tolerance","paper",6,57,3.42
914223,"democracy","ideal",6,51,3.06
914223,"equality","ideal",23,13,2.99
914223,"freedom","ideal",19,32,6.08
914223,"individualism","ideal",16,81,12.96
914223,"justice","ideal",15,15,2.25
914223,"happiness","ideal",11,10,1.1
914223,"arms","ideal",5,89,4.45
914223,"tolerance","ideal",5,57,2.85
834767,"democracy","paper",75,62,46.5
834767,"equality","paper",25,70,17.5
834767,"freedom","paper",0,67,0
834767,"individualism","paper",0,49,0
834767,"justice","paper",0,89,0
834767,"happiness","paper",0,86,0
834767,"arms","paper",0,82,0
834767,"tolerance","paper",0,78,0
834767,"democracy","ideal",23,62,14.26
834767,"equality","ideal",36,70,25.2
834767,"freedom","ideal",41,67,27.47
834767,"individualism","ideal",0,49,0
834767,"justice","ideal",0,89,0
834767,"happiness","ideal",0,86,0
834767,"arms","ideal",0,82,0
834767,"tolerance","ideal",0,78,0
636440,"democracy","paper",20,80,16
636440,"equality","paper",10,70,7
636440,"freedom","paper",50,90,45
636440,"individualism","paper",0,70,0
636440,"justice","paper",0,90,0
636440,"happiness","paper",10,80,8
636440,"arms","paper",10,80,8
636440,"tolerance","paper",0,60,0
636440,"democracy","ideal",0,80,0
636440,"equality","ideal",0,70,0
636440,"freedom","ideal",60,90,54
636440,"individualism","ideal",0,70,0
636440,"justice","ideal",0,90,0
636440,"happiness","ideal",15,80,12
636440,"arms","ideal",15,80,12
636440,"tolerance","ideal",10,60,6
686129,"democracy","paper",53,81,42.93
686129,"equality","paper",5,3,0.15
686129,"freedom","paper",12,8,0.96
686129,"individualism","paper",0,99,0
686129,"justice","paper",0,5,0
686129,"happiness","paper",0,48,0
686129,"arms","paper",30,95,28.5
686129,"tolerance","paper",0,4,0
686129,"democracy","ideal",0,81,0
686129,"equality","ideal",10,3,0.3
686129,"freedom","ideal",90,8,7.2
686129,"individualism","ideal",0,99,0
686129,"justice","ideal",0,5,0
686129,"happiness","ideal",0,48,0
686129,"arms","ideal",0,95,0
686129,"tolerance","ideal",0,4,0
184675,"democracy","paper",24,80,19.2
184675,"equality","paper",10,67,6.7
184675,"freedom","paper",34,73,24.82
184675,"individualism","paper",2,52,1.04
184675,"justice","paper",7,57,3.99
184675,"happiness","paper",13,62,8.06
184675,"arms","paper",4,49,1.96
184675,"tolerance","paper",6,46,2.76
184675,"democracy","ideal",30,80,24
184675,"equality","ideal",5,67,3.35
184675,"freedom","ideal",30,73,21.9
184675,"individualism","ideal",0,52,0
184675,"justice","ideal",10,57,5.7
184675,"happiness","ideal",3,62,1.86
184675,"arms","ideal",20,49,9.8
184675,"tolerance","ideal",2,46,0.92
330290,"democracy","paper",15,70,10.5
330290,"equality","paper",10,60,6
330290,"freedom","paper",20,60,12
330290,"individualism","paper",10,70,7
330290,"justice","paper",5,50,2.5
330290,"happiness","paper",30,50,15
330290,"arms","paper",5,40,2
330290,"tolerance","paper",5,40,2
330290,"democracy","ideal",10,70,7
330290,"equality","ideal",15,60,9
330290,"freedom","ideal",25,60,15
330290,"individualism","ideal",5,70,3.5
330290,"justice","ideal",15,50,7.5
330290,"happiness","ideal",25,50,12.5
330290,"arms","ideal",2,40,0.8
330290,"tolerance","ideal",3,40,1.2
620699,"democracy","paper",15,59,8.85
620699,"equality","paper",12,40,4.8
620699,"freedom","paper",15,67,10.05
620699,"individualism","paper",12,69,8.28
620699,"justice","paper",12,71,8.52
620699,"happiness","paper",12,58,6.96
620699,"arms","paper",10,79,7.9
620699,"tolerance","paper",12,50,6
620699,"democracy","ideal",16,59,9.44
620699,"equality","ideal",16,40,6.4
620699,"freedom","ideal",16,67,10.72
620699,"individualism","ideal",11,69,7.59
620699,"justice","ideal",16,71,11.36
620699,"happiness","ideal",8,58,4.64
620699,"arms","ideal",9,79,7.11
620699,"tolerance","ideal",8,50,4
350547,"democracy","paper",50,25,12.5
350547,"equality","paper",20,10,2
350547,"freedom","paper",10,11,1.1
350547,"individualism","paper",2,11,0.22
350547,"justice","paper",10,5,0.5
350547,"happiness","paper",2,5,0.1
350547,"arms","paper",0,100,0
350547,"tolerance","paper",6,5,0.3
350547,"democracy","ideal",50,25,12.5
350547,"equality","ideal",10,10,1
350547,"freedom","ideal",10,11,1.1
350547,"individualism","ideal",5,11,0.55
350547,"justice","ideal",10,5,0.5
350547,"happiness","ideal",5,5,0.25
350547,"arms","ideal",0,100,0
350547,"tolerance","ideal",10,5,0.5
424350,"democracy","paper",41,27,11.07
424350,"equality","paper",9,58,5.22
424350,"freedom","paper",20,24,4.8
424350,"individualism","paper",8,100,8
424350,"justice","paper",7,8,0.56
424350,"happiness","paper",0,0,0
424350,"arms","paper",6,81,4.86
424350,"tolerance","paper",9,17,1.53
424350,"democracy","ideal",21,27,5.67
424350,"equality","ideal",10,58,5.8
424350,"freedom","ideal",15,24,3.6
424350,"individualism","ideal",0,100,0
424350,"justice","ideal",32,8,2.56
424350,"happiness","ideal",22,0,0
424350,"arms","ideal",0,81,0
424350,"tolerance","ideal",0,17,0
946869,"democracy","paper",20,19,3.8
946869,"equality","paper",20,19,3.8
946869,"freedom","paper",20,8,1.6
946869,"individualism","paper",0,5,0
946869,"justice","paper",20,8,1.6
946869,"happiness","paper",20,8,1.6
946869,"arms","paper",0,89,0
946869,"tolerance","paper",0,90,0
946869,"democracy","ideal",25,19,4.75
946869,"equality","ideal",25,19,4.75
946869,"freedom","ideal",25,8,2
946869,"individualism","ideal",0,5,0
946869,"justice","ideal",0,8,0
946869,"happiness","ideal",25,8,2
946869,"arms","ideal",0,89,0
946869,"tolerance","ideal",0,90,0
560162,"democracy","paper",0,0,0
560162,"equality","paper",20,0,0
560162,"freedom","paper",20,0,0
560162,"individualism","paper",0,0,0
560162,"justice","paper",0,0,0
560162,"happiness","paper",20,0,0
560162,"arms","paper",20,0,0
560162,"tolerance","paper",20,0,0
560162,"democracy","ideal",0,0,0
560162,"equality","ideal",10,0,0
560162,"freedom","ideal",50,0,0
560162,"individualism","ideal",10,0,0
560162,"justice","ideal",0,0,0
560162,"happiness","ideal",10,0,0
560162,"arms","ideal",10,0,0
560162,"tolerance","ideal",10,0,0
403387,"democracy","paper",9,0,0
403387,"equality","paper",14,8,1.12
403387,"freedom","paper",6,4,0.24
403387,"individualism","paper",9,10,0.9
403387,"justice","paper",8,9,0.72
403387,"happiness","paper",12,3,0.36
403387,"arms","paper",13,3,0.39
403387,"tolerance","paper",29,34,9.86
403387,"democracy","ideal",12,0,0
403387,"equality","ideal",14,8,1.12
403387,"freedom","ideal",8,4,0.32
403387,"individualism","ideal",10,10,1
403387,"justice","ideal",11,9,0.99
403387,"happiness","ideal",12,3,0.36
403387,"arms","ideal",4,3,0.12
403387,"tolerance","ideal",29,34,9.86
485483,"democracy","paper",19,69,13.11
485483,"equality","paper",12,73,8.76
485483,"freedom","paper",14,70,9.8
485483,"individualism","paper",12,76,9.12
485483,"justice","paper",10,73,7.3
485483,"happiness","paper",11,79,8.69
485483,"arms","paper",12,74,8.88
485483,"tolerance","paper",10,62,6.2
485483,"democracy","ideal",13,69,8.97
485483,"equality","ideal",12,73,8.76
485483,"freedom","ideal",13,70,9.1
485483,"individualism","ideal",12,76,9.12
485483,"justice","ideal",13,73,9.49
485483,"happiness","ideal",13,79,10.27
485483,"arms","ideal",12,74,8.88
485483,"tolerance","ideal",12,62,7.44
233189,"democracy","paper",17,37,6.29
233189,"equality","paper",10,6,0.6
233189,"freedom","paper",20,26,5.2
233189,"individualism","paper",9,7,0.63
233189,"justice","paper",17,19,3.23
233189,"happiness","paper",7,7,0.49
233189,"arms","paper",8,7,0.56
233189,"tolerance","paper",12,7,0.84
233189,"democracy","ideal",38,37,14.06
233189,"equality","ideal",8,6,0.48
233189,"freedom","ideal",13,26,3.38
233189,"individualism","ideal",9,7,0.63
233189,"justice","ideal",13,19,2.47
233189,"happiness","ideal",5,7,0.35
233189,"arms","ideal",12,7,0.84
233189,"tolerance","ideal",2,7,0.14
816563,"democracy","paper",35,60,21
816563,"equality","paper",10,40,4
816563,"freedom","paper",15,50,7.5
816563,"individualism","paper",5,30,1.5
816563,"justice","paper",5,45,2.25
816563,"happiness","paper",5,35,1.75
816563,"arms","paper",20,55,11
816563,"tolerance","paper",5,45,2.25
816563,"democracy","ideal",10,60,6
816563,"equality","ideal",10,40,4
816563,"freedom","ideal",20,50,10
816563,"individualism","ideal",10,30,3
816563,"justice","ideal",10,45,4.5
816563,"happiness","ideal",10,35,3.5
816563,"arms","ideal",20,55,11
816563,"tolerance","ideal",10,45,4.5
303093,"democracy","paper",9,39,3.51
303093,"equality","paper",18,42,7.56
303093,"freedom","paper",17,41,6.97
303093,"individualism","paper",16,44,7.04
303093,"justice","paper",9,42,3.78
303093,"happiness","paper",10,39,3.9
303093,"arms","paper",10,43,4.3
303093,"tolerance","paper",11,41,4.51
303093,"democracy","ideal",19,39,7.41
303093,"equality","ideal",19,42,7.98
303093,"freedom","ideal",19,41,7.79
303093,"individualism","ideal",11,44,4.84
303093,"justice","ideal",9,42,3.78
303093,"happiness","ideal",5,39,1.95
303093,"arms","ideal",10,43,4.3
303093,"tolerance","ideal",8,41,3.28
506266,"democracy","paper",0,45,0
506266,"equality","paper",50,35,17.5
506266,"freedom","paper",50,20,10
506266,"individualism","paper",0,55,0
506266,"justice","paper",0,35,0
506266,"happiness","paper",0,20,0
506266,"arms","paper",0,70,0
506266,"tolerance","paper",0,50,0
506266,"democracy","ideal",0,45,0
506266,"equality","ideal",50,35,17.5
506266,"freedom","ideal",50,20,10
506266,"individualism","ideal",0,55,0
506266,"justice","ideal",0,35,0
506266,"happiness","ideal",0,20,0
506266,"arms","ideal",0,70,0
506266,"tolerance","ideal",0,50,0
755424,"democracy","paper",29,58,16.82
755424,"equality","paper",3,41,1.23
755424,"freedom","paper",50,70,35
755424,"individualism","paper",4,46,1.84
755424,"justice","paper",4,36,1.44
755424,"happiness","paper",3,24,0.72
755424,"arms","paper",4,49,1.96
755424,"tolerance","paper",3,36,1.08
755424,"democracy","ideal",15,58,8.7
755424,"equality","ideal",16,41,6.56
755424,"freedom","ideal",15,70,10.5
755424,"individualism","ideal",8,46,3.68
755424,"justice","ideal",16,36,5.76
755424,"happiness","ideal",14,24,3.36
755424,"arms","ideal",2,49,0.98
755424,"tolerance","ideal",14,36,5.04
706456,"democracy","paper",20,40,8
706456,"equality","paper",20,40,8
706456,"freedom","paper",20,60,12
706456,"individualism","paper",10,70,7
706456,"justice","paper",10,20,2
706456,"happiness","paper",10,50,5
706456,"arms","paper",0,100,0
706456,"tolerance","paper",10,20,2
706456,"democracy","ideal",10,40,4
706456,"equality","ideal",20,40,8
706456,"freedom","ideal",20,60,12
706456,"individualism","ideal",10,70,7
706456,"justice","ideal",10,20,2
706456,"happiness","ideal",25,50,12.5
706456,"arms","ideal",0,100,0
706456,"tolerance","ideal",5,20,1
160312,"democracy","paper",8,49,3.92
160312,"equality","paper",23,71,16.33
160312,"freedom","paper",29,96,27.84
160312,"individualism","paper",21,63,13.23
160312,"justice","paper",15,53,7.95
160312,"happiness","paper",2,75,1.5
160312,"arms","paper",0,72,0
160312,"tolerance","paper",2,64,1.28
160312,"democracy","ideal",10,49,4.9
160312,"equality","ideal",15,71,10.65
160312,"freedom","ideal",15,96,14.4
160312,"individualism","ideal",10,63,6.3
160312,"justice","ideal",30,53,15.9
160312,"happiness","ideal",10,75,7.5
160312,"arms","ideal",0,72,0
160312,"tolerance","ideal",10,64,6.4
961017,"democracy","paper",7,31,2.17
961017,"equality","paper",35,60,21
961017,"freedom","paper",19,33,6.27
961017,"individualism","paper",0,32,0
961017,"justice","paper",27,65,17.55
961017,"happiness","paper",12,54,6.48
961017,"arms","paper",0,71,0
961017,"tolerance","paper",0,66,0
961017,"democracy","ideal",14,31,4.34
961017,"equality","ideal",33,60,19.8
961017,"freedom","ideal",20,33,6.6
961017,"individualism","ideal",27,32,8.64
961017,"justice","ideal",3,65,1.95
961017,"happiness","ideal",3,54,1.62
961017,"arms","ideal",0,71,0
961017,"tolerance","ideal",0,66,0
223689,"democracy","paper",18,39,7.02
223689,"equality","paper",21,10,2.1
223689,"freedom","paper",16,18,2.88
223689,"individualism","paper",0,7,0
223689,"justice","paper",23,18,4.14
223689,"happiness","paper",9,4,0.36
223689,"arms","paper",0,29,0
223689,"tolerance","paper",13,8,1.04
223689,"democracy","ideal",21,39,8.19
223689,"equality","ideal",21,10,2.1
223689,"freedom","ideal",20,18,3.6
223689,"individualism","ideal",0,7,0
223689,"justice","ideal",25,18,4.5
223689,"happiness","ideal",4,4,0.16
223689,"arms","ideal",0,29,0
223689,"tolerance","ideal",9,8,0.72
623815,"democracy","paper",0,49,0
623815,"equality","paper",5,32,1.6
623815,"freedom","paper",10,31,3.1
623815,"individualism","paper",5,30,1.5
623815,"justice","paper",5,31,1.55
623815,"happiness","paper",50,63,31.5
623815,"arms","paper",20,56,11.2
623815,"tolerance","paper",5,14,0.7
623815,"democracy","ideal",9,49,4.41
623815,"equality","ideal",7,32,2.24
623815,"freedom","ideal",19,31,5.89
623815,"individualism","ideal",8,30,2.4
623815,"justice","ideal",7,31,2.17
623815,"happiness","ideal",27,63,17.01
623815,"arms","ideal",17,56,9.52
623815,"tolerance","ideal",6,14,0.84
697740,"democracy","paper",20,70,14
697740,"equality","paper",15,55,8.25
697740,"freedom","paper",15,65,9.75
697740,"individualism","paper",10,70,7
697740,"justice","paper",15,65,9.75
697740,"happiness","paper",10,65,6.5
697740,"arms","paper",5,60,3
697740,"tolerance","paper",10,60,6
697740,"democracy","ideal",20,70,14
697740,"equality","ideal",20,55,11
697740,"freedom","ideal",15,65,9.75
697740,"individualism","ideal",10,70,7
697740,"justice","ideal",15,65,9.75
697740,"happiness","ideal",10,65,6.5
697740,"arms","ideal",5,60,3
697740,"tolerance","ideal",5,60,3
476944,"democracy","paper",15,70,10.5
476944,"equality","paper",15,60,9
476944,"freedom","paper",15,70,10.5
476944,"individualism","paper",15,70,10.5
476944,"justice","paper",15,60,9
476944,"happiness","paper",10,65,6.5
476944,"arms","paper",5,81,4.05
476944,"tolerance","paper",10,60,6
476944,"democracy","ideal",15,70,10.5
476944,"equality","ideal",15,60,9
476944,"freedom","ideal",15,70,10.5
476944,"individualism","ideal",10,70,7
476944,"justice","ideal",10,60,6
476944,"happiness","ideal",10,65,6.5
476944,"arms","ideal",10,81,8.1
476944,"tolerance","ideal",15,60,9
480867,"democracy","paper",11,15,1.65
480867,"equality","paper",8,10,0.8
480867,"freedom","paper",15,4,0.6
480867,"individualism","paper",8,3,0.24
480867,"justice","paper",0,1,0
480867,"happiness","paper",23,5,1.15
480867,"arms","paper",19,78,14.82
480867,"tolerance","paper",16,4,0.64
480867,"democracy","ideal",16,15,2.4
480867,"equality","ideal",14,10,1.4
480867,"freedom","ideal",17,4,0.68
480867,"individualism","ideal",0,3,0
480867,"justice","ideal",14,1,0.14
480867,"happiness","ideal",18,5,0.9
480867,"arms","ideal",0,78,0
480867,"tolerance","ideal",21,4,0.84
692098,"democracy","paper",30,80,24
692098,"equality","paper",15,10,1.5
692098,"freedom","paper",20,85,17
692098,"individualism","paper",10,40,4
692098,"justice","paper",4,70,2.8
692098,"happiness","paper",12,85,10.2
692098,"arms","paper",7,95,6.65
692098,"tolerance","paper",2,40,0.8
692098,"democracy","ideal",30,80,24
692098,"equality","ideal",30,10,3
692098,"freedom","ideal",15,85,12.75
692098,"individualism","ideal",5,40,2
692098,"justice","ideal",6,70,4.2
692098,"happiness","ideal",7,85,5.95
692098,"arms","ideal",1,95,0.95
692098,"tolerance","ideal",6,40,2.4
594763,"democracy","paper",24,57,13.68
594763,"equality","paper",14,74,10.36
594763,"freedom","paper",40,100,40
594763,"individualism","paper",7,38,2.66
594763,"justice","paper",9,42,3.78
594763,"happiness","paper",5,36,1.8
594763,"arms","paper",0,74,0
594763,"tolerance","paper",1,38,0.38
594763,"democracy","ideal",0,57,0
594763,"equality","ideal",20,74,14.8
594763,"freedom","ideal",40,100,40
594763,"individualism","ideal",5,38,1.9
594763,"justice","ideal",20,42,8.4
594763,"happiness","ideal",10,36,3.6
594763,"arms","ideal",0,74,0
594763,"tolerance","ideal",5,38,1.9
397847,"democracy","paper",19,62,11.78
397847,"equality","paper",6,29,1.74
397847,"freedom","paper",18,50,9
397847,"individualism","paper",6,31,1.86
397847,"justice","paper",12,40,4.8
397847,"happiness","paper",17,53,9.01
397847,"arms","paper",16,32,5.12
397847,"tolerance","paper",6,8,0.48
397847,"democracy","ideal",20,62,12.4
397847,"equality","ideal",13,29,3.77
397847,"freedom","ideal",20,50,10
397847,"individualism","ideal",4,31,1.24
397847,"justice","ideal",8,40,3.2
397847,"happiness","ideal",14,53,7.42
397847,"arms","ideal",15,32,4.8
397847,"tolerance","ideal",6,8,0.48
827447,"democracy","paper",20,60,12
827447,"equality","paper",10,25,2.5
