predictor,coef,selected,alpha,model,outcome,n
democracy,-0.17466150894077448,True,0.022638367679555318,lasso_penalize_all,antiest_z,808
equality,-0.03736060784735518,True,0.022638367679555318,lasso_penalize_all,antiest_z,808
freedom,-0.0762551400185186,True,0.022638367679555318,lasso_penalize_all,antiest_z,808
individualism,0.0,False,0.022638367679555318,lasso_penalize_all,antiest_z,808
justice,-0.19620540851484652,True,0.022638367679555318,lasso_penalize_all,antiest_z,808
happiness,-0.07222180649810554,True,0.022638367679555318,lasso_penalize_all,antiest_z,808
arms,0.02621760665054078,True,0.022638367679555318,lasso_penalize_all,antiest_z,808
tolerance,-0.12676709232727537,True,0.022638367679555318,lasso_penalize_all,antiest_z,808
democracy,-0.13070918174290125,True,0.017215580910287565,lasso_penalize_all,change_z,808
equality,0.026265366572221206,True,0.017215580910287565,lasso_penalize_all,change_z,808
freedom,-0.14035974881650315,True,0.017215580910287565,lasso_penalize_all,change_z,808
individualism,0.0,False,0.017215580910287565,lasso_penalize_all,change_z,808
justice,-0.14412816912083762,True,0.017215580910287565,lasso_penalize_all,change_z,808
happiness,-0.11150028678039138,True,0.017215580910287565,lasso_penalize_all,change_z,808
arms,0.00700346439908243,True,0.017215580910287565,lasso_penalize_all,change_z,808
tolerance,-0.10308125455166045,True,0.017215580910287565,lasso_penalize_all,change_z,808
democracy,0.17895288218728142,True,0.028086752898882347,lasso_penalize_all,trust_deminst_z,808
equality,0.09356583466793524,True,0.028086752898882347,lasso_penalize_all,trust_deminst_z,808
freedom,0.0921208320280172,True,0.028086752898882347,lasso_penalize_all,trust_deminst_z,808
individualism,0.0,False,0.028086752898882347,lasso_penalize_all,trust_deminst_z,808
justice,0.2408098879914517,True,0.028086752898882347,lasso_penalize_all,trust_deminst_z,808
happiness,0.1010693953450808,True,0.028086752898882347,lasso_penalize_all,trust_deminst_z,808
arms,-0.06277795577760552,True,0.028086752898882347,lasso_penalize_all,trust_deminst_z,808
tolerance,0.029785803360274223,True,0.028086752898882347,lasso_penalize_all,trust_deminst_z,808
democracy,0.19584770495031795,True,0.02288962993252055,lasso_penalize_all,trust_natinst_z,808
equality,0.08545376825894979,True,0.02288962993252055,lasso_penalize_all,trust_natinst_z,808
freedom,0.07789943642034111,True,0.02288962993252055,lasso_penalize_all,trust_natinst_z,808
individualism,-0.0,False,0.02288962993252055,lasso_penalize_all,trust_natinst_z,808
justice,0.2743042563732183,True,0.02288962993252055,lasso_penalize_all,trust_natinst_z,808
happiness,0.045726733186721116,True,0.02288962993252055,lasso_penalize_all,trust_natinst_z,808
arms,-0.0470709904829916,True,0.02288962993252055,lasso_penalize_all,trust_natinst_z,808
tolerance,0.011213694916884632,True,0.02288962993252055,lasso_penalize_all,trust_natinst_z,808
