predictor,coef,selected,alpha,model,outcome,n
democracy,-0.17632756341949812,True,0.0070057240620124495,lasso_unpen_controls,antiest_z,808
equality,-0.038942707830521915,True,0.0070057240620124495,lasso_unpen_controls,antiest_z,808
freedom,-0.08522287590913735,True,0.0070057240620124495,lasso_unpen_controls,antiest_z,808
individualism,0.012732535841672249,True,0.0070057240620124495,lasso_unpen_controls,antiest_z,808
justice,-0.18327736849400988,True,0.0070057240620124495,lasso_unpen_controls,antiest_z,808
happiness,-0.0767497687774744,True,0.0070057240620124495,lasso_unpen_controls,antiest_z,808
arms,0.03446396937636096,True,0.0070057240620124495,lasso_unpen_controls,antiest_z,808
tolerance,-0.13875141046079573,True,0.0070057240620124495,lasso_unpen_controls,antiest_z,808
democracy,-0.13618054237895358,True,0.007390678778748866,lasso_unpen_controls,change_z,808
equality,0.0458326980787112,True,0.007390678778748866,lasso_unpen_controls,change_z,808
freedom,-0.14625980571542874,True,0.007390678778748866,lasso_unpen_controls,change_z,808
individualism,0.0,False,0.007390678778748866,lasso_unpen_controls,change_z,808
justice,-0.13797535891236481,True,0.007390678778748866,lasso_unpen_controls,change_z,808
happiness,-0.11158022551758703,True,0.007390678778748866,lasso_unpen_controls,change_z,808
arms,0.015324042342613139,True,0.007390678778748866,lasso_unpen_controls,change_z,808
tolerance,-0.11138167807940139,True,0.007390678778748866,lasso_unpen_controls,change_z,808
democracy,0.1717708861403772,True,0.025579823879763208,lasso_unpen_controls,trust_deminst_z,808
equality,0.08227774960725598,True,0.025579823879763208,lasso_unpen_controls,trust_deminst_z,808
freedom,0.09237796813066516,True,0.025579823879763208,lasso_unpen_controls,trust_deminst_z,808
individualism,0.0,False,0.025579823879763208,lasso_unpen_controls,trust_deminst_z,808
justice,0.22114290420094776,True,0.025579823879763208,lasso_unpen_controls,trust_deminst_z,808
happiness,0.09678807419968181,True,0.025579823879763208,lasso_unpen_controls,trust_deminst_z,808
arms,-0.06192588762813383,True,0.025579823879763208,lasso_unpen_controls,trust_deminst_z,808
tolerance,0.026219870463078353,True,0.025579823879763208,lasso_unpen_controls,trust_deminst_z,808
democracy,0.18083805783903828,True,0.02872063147094751,lasso_unpen_controls,trust_natinst_z,808
equality,0.07701080655178515,True,0.02872063147094751,lasso_unpen_controls,trust_natinst_z,808
freedom,0.07209167165955108,True,0.02872063147094751,lasso_unpen_controls,trust_natinst_z,808
individualism,0.0,False,0.02872063147094751,lasso_unpen_controls,trust_natinst_z,808
justice,0.2559704994518999,True,0.02872063147094751,lasso_unpen_controls,trust_natinst_z,808
happiness,0.03920761356465804,True,0.02872063147094751,lasso_unpen_controls,trust_natinst_z,808
arms,-0.03656279012114188,True,0.02872063147094751,lasso_unpen_controls,trust_natinst_z,808
tolerance,0.005731007898536219,True,0.02872063147094751,lasso_unpen_controls,trust_natinst_z,808
