predictor,share_among_values,n,outcome
justice,0.3024837907663808,808,antiest_z
democracy,0.2597654606528755,808,antiest_z
tolerance,0.1478323195337057,808,antiest_z
freedom,0.10617317006378824,808,antiest_z
happiness,0.08516554572623293,808,antiest_z
equality,0.07706934344640057,808,antiest_z
arms,0.01959306126741145,808,antiest_z
individualism,0.0019173085432049144,808,antiest_z
freedom,0.24544152670868333,808,change_z
justice,0.24406025595598477,808,change_z
democracy,0.1973536735638713,808,change_z
happiness,0.16716215253045655,808,change_z
tolerance,0.12230797251916757,808,change_z
equality,0.01559437551110218,808,change_z
arms,0.007005845962936217,808,change_z
individualism,0.0010741972477981098,808,change_z
justice,0.3321937216780437,808,trust_deminst_z
democracy,0.2403122716869584,808,trust_deminst_z
equality,0.12426227851648482,808,trust_deminst_z
freedom,0.12323870401348708,808,trust_deminst_z
happiness,0.10661258408953464,808,trust_deminst_z
arms,0.04849707102446157,808,trust_deminst_z
tolerance,0.0240518713833641,808,trust_deminst_z
individualism,0.000831497607665773,808,trust_deminst_z
justice,0.4074109635868485,808,trust_natinst_z
democracy,0.2730663399026324,808,trust_natinst_z
equality,0.11994092893396079,808,trust_natinst_z
freedom,0.10179362500284932,808,trust_natinst_z
happiness,0.05053019417988935,808,trust_natinst_z
arms,0.032028055590470735,808,trust_natinst_z
tolerance,0.014603927252612543,808,trust_natinst_z
individualism,0.000625965550736299,808,trust_natinst_z
