predictor,coef,alpha,model,outcome,n
democracy,-0.1619549921869765,158.85651294280527,ridge_penalize_all,antiest_z,808
equality,-0.05236380138625001,158.85651294280527,ridge_penalize_all,antiest_z,808
freedom,-0.08282928987451106,158.85651294280527,ridge_penalize_all,antiest_z,808
individualism,0.015567278004158802,158.85651294280527,ridge_penalize_all,antiest_z,808
justice,-0.17331199927489765,158.85651294280527,ridge_penalize_all,antiest_z,808
happiness,-0.07888894690735988,158.85651294280527,ridge_penalize_all,antiest_z,808
arms,0.03925546558854928,158.85651294280527,ridge_penalize_all,antiest_z,808
tolerance,-0.12528304930626633,158.85651294280527,ridge_penalize_all,antiest_z,808
democracy,-0.12759147913991686,138.26221737646534,ridge_penalize_all,change_z,808
equality,0.04063727794599135,138.26221737646534,ridge_penalize_all,change_z,808
freedom,-0.13643766302873664,138.26221737646534,ridge_penalize_all,change_z,808
individualism,0.00446584500894634,138.26221737646534,ridge_penalize_all,change_z,808
justice,-0.13826451935248119,138.26221737646534,ridge_penalize_all,change_z,808
happiness,-0.11170252623132824,138.26221737646534,ridge_penalize_all,change_z,808
arms,0.022487307897918002,138.26221737646534,ridge_penalize_all,change_z,808
tolerance,-0.10339639094686758,138.26221737646534,ridge_penalize_all,change_z,808
democracy,0.15983456896597886,276.8286630392061,ridge_penalize_all,trust_deminst_z,808
equality,0.09611350456645612,276.8286630392061,ridge_penalize_all,trust_deminst_z,808
freedom,0.0972437376988196,276.8286630392061,ridge_penalize_all,trust_deminst_z,808
individualism,0.002292501830883441,276.8286630392061,ridge_penalize_all,trust_deminst_z,808
justice,0.19405270294970672,276.8286630392061,ridge_penalize_all,trust_deminst_z,808
happiness,0.09828770904940858,276.8286630392061,ridge_penalize_all,trust_deminst_z,808
arms,-0.06917623654595176,276.8286630392061,ridge_penalize_all,trust_deminst_z,808
tolerance,0.04447965974565403,276.8286630392061,ridge_penalize_all,trust_deminst_z,808
democracy,0.17316692034117,240.9403560239527,ridge_penalize_all,trust_natinst_z,808
equality,0.09268894149803122,240.9403560239527,ridge_penalize_all,trust_natinst_z,808
freedom,0.08649406270671586,240.9403560239527,ridge_penalize_all,trust_natinst_z,808
individualism,-0.003433279488701854,240.9403560239527,ridge_penalize_all,trust_natinst_z,808
justice,0.22489599854399608,240.9403560239527,ridge_penalize_all,trust_natinst_z,808
happiness,0.060064075675287654,240.9403560239527,ridge_penalize_all,trust_natinst_z,808
arms,-0.05522657016404745,240.9403560239527,ridge_penalize_all,trust_natinst_z,808
tolerance,0.031225033816419,240.9403560239527,ridge_penalize_all,trust_natinst_z,808
