predictor,coef,alpha,model,outcome,n
democracy,-0.16278888988027357,104.73708979594487,ridge_unpen_controls,antiest_z,808
equality,-0.04732648687077651,104.73708979594487,ridge_unpen_controls,antiest_z,808
freedom,-0.08471601018358974,104.73708979594487,ridge_unpen_controls,antiest_z,808
individualism,0.017156908172251226,104.73708979594487,ridge_unpen_controls,antiest_z,808
justice,-0.17060961623554013,104.73708979594487,ridge_unpen_controls,antiest_z,808
happiness,-0.07752125311721095,104.73708979594487,ridge_unpen_controls,antiest_z,808
arms,0.03748230848942852,104.73708979594487,ridge_unpen_controls,antiest_z,808
tolerance,-0.1301482094201085,104.73708979594487,ridge_unpen_controls,antiest_z,808
democracy,-0.13629509470389262,45.52935074866948,ridge_unpen_controls,change_z,808
equality,0.05218306157285027,45.52935074866948,ridge_unpen_controls,change_z,808
freedom,-0.1454614525528198,45.52935074866948,ridge_unpen_controls,change_z,808
individualism,0.0043377354665077306,45.52935074866948,ridge_unpen_controls,change_z,808
justice,-0.1386002371660034,45.52935074866948,ridge_unpen_controls,change_z,808
happiness,-0.11383554592750844,45.52935074866948,ridge_unpen_controls,change_z,808
arms,0.022717458557324155,45.52935074866948,ridge_unpen_controls,change_z,808
tolerance,-0.11310033153946047,45.52935074866948,ridge_unpen_controls,change_z,808
democracy,0.1553263187884829,240.9403560239527,ridge_unpen_controls,trust_deminst_z,808
equality,0.09013582192949161,240.9403560239527,ridge_unpen_controls,trust_deminst_z,808
freedom,0.09767985980006065,240.9403560239527,ridge_unpen_controls,trust_deminst_z,808
individualism,0.00044757975035093073,240.9403560239527,ridge_unpen_controls,trust_deminst_z,808
justice,0.18862904280041548,240.9403560239527,ridge_unpen_controls,trust_deminst_z,808
happiness,0.0970161522823749,240.9403560239527,ridge_unpen_controls,trust_deminst_z,808
arms,-0.0686390156952225,240.9403560239527,ridge_unpen_controls,trust_deminst_z,808
tolerance,0.04283422557849047,240.9403560239527,ridge_unpen_controls,trust_deminst_z,808
democracy,0.1680686200694608,209.70464013232308,ridge_unpen_controls,trust_natinst_z,808
equality,0.08684007488837528,209.70464013232308,ridge_unpen_controls,trust_natinst_z,808
freedom,0.08429886255390237,209.70464013232308,ridge_unpen_controls,trust_natinst_z,808
individualism,-0.0006785525655427088,209.70464013232308,ridge_unpen_controls,trust_natinst_z,808
justice,0.21812934418683794,209.70464013232308,ridge_unpen_controls,trust_natinst_z,808
happiness,0.05585943098633599,209.70464013232308,ridge_unpen_controls,trust_natinst_z,808
arms,-0.05245695261756407,209.70464013232308,ridge_unpen_controls,trust_natinst_z,808
tolerance,0.02916719354198402,209.70464013232308,ridge_unpen_controls,trust_natinst_z,808
