CaseId,WEIGHT,RND_00,RND_01,Q1A,Q1B,Q1C,Q1D,Q1E,Q2,Q2_TEXT,CONDITION1,CONDITION2,CONDITION3,ORDERA,ORDERB,ORDERC,ORDERD,ORDERE,Q3A,Q3B,Q3C,Q3D,Q4,Q5,Q6,Q7,NOV5,NOV7,NOV7_OE,PartyID7,PartyID5,IDEO,RELIG,RELIG_OE,ATTEND,STARTDT,ENDDT,duration,SURV_MODE,SURV_LANG,Device,GENDER,AGE,AGE4,AGE7,RACETHNICITY,EDUC5,MARITAL,EMPLOY,INCOME,INCOME4,INCOME9,STATE,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV
54,1.84696772,0,0,Freedom of speech,Individuality,Freedom of the press,Help your neighbor,Peaceful protests,4,Help your neighbor,"In order to maintain a stable society, we must have order and cooperation among the citizenry.  There is no reason to fight against each other in the pursuit of progress.",,,4,2,1,5,3,7,5,3,4,2,1,5,7,4,1,,1,1,1,9,,1,11/18/2024 20:22,11/18/2024 20:27,5,2,1,Desktop,1,56,3,5,1,4,1,1,14,4,8,VA,3,5,1,1,1,1,3,4,0,0,0,1,3
55,0.89534242,1,1,Liberty,Justice for All,Religious Freedom,Free Fair Elections,No King,2,Justice for All,,"By granting presidential immunity, the Supreme Court has put the president in the status of a king. No person in the United States should be above the law, including and especially the president.",,4,2,3,5,1,5,5,2,5,5,6,3,5,4,1,,1,1,3,2,,3,11/20/2024 8:52,11/20/2024 8:59,7,2,1,Desktop,1,63,4,5,1,2,1,5,11,3,6,MA,1,1,1,1,1,1,4,2,#NULL!,#NULL!,#NULL!,#NULL!,2
62,1.90398018,2,1,Freedom,Peace,Hard work,Fairness,Honesty,1,Freedom,,,For our country to be free from dictatorship. We deserve to have choices and feel safe in our every day life,5,2,3,1,4,6,7,7,1,3,2,3,6,3,#NULL!,,6,5,3,2,,3,12/1/2024 15:27,12/1/2024 15:32,4,2,1,Smartphone,2,43,2,3,1,2,1,7,10,2,6,OH,2,3,1,1,1,1,4,4,#NULL!,#NULL!,1,1,2
65,0.60241144,0,1,Family,Morality,Financial stability,98,98,1,Family,The US does not put family first or people with families first or provide enough help for families in need,,,1,2,4,5,3,1,7,7,7,98,1,1,7,3,#NULL!,,2,1,2,11,,1,11/19/2024 17:48,11/23/2024 8:38,4,2,1,Smartphone,2,28,1,2,2,3,1,7,4,1,2,SC,3,5,1,1,2,4,4,3,1,#NULL!,#NULL!,#NULL!,2
67,1.99491172,2,1,Freedom of speech,Freedom of religion,Liberty for all,Justice for all,Pursuit of happiness,1,Freedom of speech,,,People are able to say what they think. It is allowed without censorship by the government or other persons or companies/organizations.,3,1,5,4,2,6,5,4,5,3,4,3,5,4,98,,4,3,-1,2,,8,11/18/2024 21:35,11/18/2024 21:44,10,2,1,Smartphone,2,58,3,5,1,5,1,1,15,4,8,MO,2,4,1,1,1,1,4,3,0,0,0,0,3
73,0.19666442,2,1,Life,Liberty,The pursuit of happiness,Freedom of speech,Freedom of religion,1,Life,,,"The existence of a physical being made up of atoms that consumes energy, that is allowed to continue its existence without the interference of another living being without just cause",4,3,1,2,5,5,5,5,2,2,2,5,5,4,2,,5,4,3,2,,8,11/21/2024 18:46,11/21/2024 19:01,15,2,1,Smartphone,2,33,2,2,1,3,1,1,12,3,7,DE,3,5,1,1,1,1,4,2,#NULL!,#NULL!,#NULL!,#NULL!,2
77,0.82367946,2,0,Family,Value,Fortune,Honor,Respect,1,Family,,,Amazing people and gives love and always there for people and one another. Very much devoted to family,1,5,2,4,3,7,5,7,4,5,1,1,7,1,#NULL!,,4,3,3,12,,2,11/25/2024 18:54,11/25/2024 18:58,4,2,1,Smartphone,2,35,2,3,2,3,5,1,5,1,3,FL,3,5,1,1,2,1,4,2,#NULL!,#NULL!,#NULL!,1,1
85,1.60700243,1,0,Greed,Gluttony,Lying,Ego,Too many damn cars,1,Greed,,This country doesn't care about it's own people. The people in charge only care whether or not them and their buddies are going to get yet another tax break.,,2,5,1,3,4,7,4,6,4,1,3,1,4,4,1,,3,2,2,9,,1,11/22/2024 18:18,11/22/2024 18:23,6,2,1,Desktop,1,47,3,4,1,1,5,1,7,2,4,TX,3,7,1,1,2,1,4,6,#NULL!,#NULL!,#NULL!,#NULL!,2
86,0.12685428,1,0,Freedom  of speech,Freedom of Religion,Right to have guns,Freedom  to live anywhere,Freedom to eat whatever,2,Freedom of Religion,,"By making everyone go according to what the government has decided, an example  is rights for women on healthcare decisions.  This should be instead a religious decision individually.",,1,3,2,4,5,7,6,1,5,3,4,2,7,4,1,,2,1,4,1,,2,11/18/2024 16:10,11/18/2024 16:27,17,2,1,Smartphone,2,61,4,5,1,3,1,4,6,1,3,CA,4,9,1,1,1,1,4,2,#NULL!,#NULL!,#NULL!,#NULL!,2
88,1.81424197,0,1,Freedom of speech,Freedom of religion,Equality,Military protection,Education,1,Freedom of speech,The U.S is living up to its promise of freedom of speech by pursuing offenders such as Elon Musk with his X platform. He used it to create an alt-right platform to further his agenda.,,,2,1,4,3,5,7,6,7,1,3,1,1,7,1,#NULL!,,3,2,3,12,,2,11/19/2024 11:47,11/19/2024 11:57,10,2,1,Smartphone,1,29,1,2,1,2,4,1,9,2,5,FL,3,5,1,1,2,1,4,2,#NULL!,#NULL!,#NULL!,#NULL!,2
93,1.09116111,2,0,Growth,freedom,choice,Liberty,health,2,freedom,,,"The right to choice, growth a min. Control by government. In other words the freeedon to make the choice as long as it does not hurt others.",5,3,4,2,1,5,5,6,4,3,3,3,5,4,1,,3,2,3,11,,2,11/27/2024 10:02,11/27/2024 10:08,6,2,1,Desktop,1,68,4,6,1,3,4,1,9,2,5,CO,4,8,1,1,2,1,4,4,0,0,0,0,1
95,1.50808908,2,1,Lieing,Stealing,Dehumanize,Rape,Greed,5,Greed,,,Make and take as much by any means necessary! There are no rules to how much you can consume and pillage.,2,3,4,1,5,6,2,1,4,5,1,1,1,4,1,,4,3,3,1,,4,11/18/2024 20:34,11/18/2024 20:38,4,2,1,Smartphone,1,43,2,3,2,4,1,1,16,4,9,GA,3,5,1,1,1,1,4,4,#NULL!,#NULL!,1,#NULL!,2
105,0.88965894,0,1,Freedom,Democracy,Integrity,Equal rights,Fairness,2,Democracy,Equal rights and freedom for all and fair voting rights and the rights to the Constitution to whoever is American,,,2,5,3,4,1,7,4,6,2,5,2,4,4,4,1,,2,1,3,12,,1,11/19/2024 9:24,11/19/2024 9:31,8,2,1,Smartphone,1,45,3,4,2,2,5,1,1,1,1,OH,2,3,1,1,2,3,4,1,#NULL!,#NULL!,#NULL!,#NULL!,1
114,0.69408824,0,1,Independence,Equality,Individualism,Democracy,Nationalism,4,Democracy,Free and fair elections to choose the people’s representatives. Separation of powers between the three branches of government. In theory these are what ensures democracy however money and power have corrupted the process creating partisan politics and inequality.,,,5,2,1,4,3,6,7,5,1,1,1,2,5,4,1,,4,3,3,2,,1,11/18/2024 17:03,11/18/2024 17:15,12,2,1,Smartphone,1,54,3,4,1,5,1,1,18,4,9,CO,4,8,1,1,1,1,3,6,#NULL!,#NULL!,#NULL!,4,4
