PID,exclude
54,0
55,0
62,0
65,0
67,0
73,0
77,0
85,0
86,0
88,0
93,0
95,0
105,0
114,0
115,0
120,0
122,0
124,0
125,0
130,0
131,0
142,0
148,0
151,0
153,0
154,0
165,0
167,0
169,0
174,0
175,0
180,0
186,0
191,0
192,0
194,0
200,0
206,0
215,0
216,0
224,0
225,0
230,0
231,0
234,0
237,1
246,0
250,0
257,0
262,0
265,0
268,0
269,0
279,0
287,0
290,0
310,0
318,0
328,0
333,1
334,0
338,0
349,0
354,0
357,0
359,0
364,0
367,0
375,0
377,0
404,0
414,0
430,0
433,0
447,0
448,1
450,0
452,0
453,0
460,1
462,0
467,0
476,0
479,0
484,0
486,0
491,0
493,0
496,0
504,0
506,0
512,0
515,0
518,0
519,0
521,0
531,0
536,0
542,0
545,0
549,0
551,0
560,0
563,0
598,0
599,0
601,0
609,0
611,0
616,0
618,0
619,0
620,0
629,0
630,0
641,0
643,0
647,0
657,0
666,0
669,0
675,0
680,0
683,0
686,0
691,0
694,0
699,1
718,0
725,0
727,0
730,0
731,0
732,0
739,0
741,0
742,0
744,0
747,0
751,0
761,0
762,0
765,1
779,0
786,0
789,0
792,0
794,0
795,0
796,0
809,0
812,0
815,0
817,0
820,0
821,0
827,0
834,0
841,0
843,0
845,0
846,0
852,0
858,0
862,0
865,0
870,0
872,0
878,0
880,0
882,0
883,0
886,0
889,0
890,0
891,0
893,0
896,0
899,0
903,0
905,0
918,0
920,0
921,0
922,0
926,0
930,0
939,0
940,0
944,0
947,0
957,0
963,0
964,0
968,0
969,0
976,0
980,0
984,0
990,0
997,0
998,0
1001,0
1007,0
1011,0
1012,0
1018,0
1019,0
1026,0
1028,0
1031,0
1036,0
1038,0
1040,0
1044,0
1049,0
1055,0
1057,0
1058,0
1064,0
1084,0
1093,0
1094,0
1097,0
1113,0
1118,0
1120,0
1124,0
1128,0
1133,0
1134,0
1140,0
1142,0
1146,0
1148,0
1150,0
1153,0
1154,0
1160,0
1167,0
1175,0
1179,0
1180,0
1189,0
1207,0
1219,0
1221,0
1222,0
1224,0
1227,0
1229,0
1232,0
1237,0
1241,0
1242,0
1250,0
1259,0
1260,0
1267,0
1274,0
1282,0
1288,0
1293,0
1305,0
1307,0
1309,0
1316,0
1318,0
1319,0
1320,0
1322,0
1324,0
1328,0
1329,0
1330,0
1331,0
1332,0
1345,0
1359,0
1366,0
1374,0
1384,0
1395,0
1401,0
1403,0
1405,0
1417,0
1422,0
1426,0
1430,0
1439,0
1444,0
1448,0
1455,0
1457,0
1460,0
1465,0
1477,0
1484,0
1494,0
1500,0
1502,0
1503,0
1509,0
1516,0
1521,1
1524,0
1526,0
1542,0
1554,0
1561,0
1562,0
1566,0
1567,0
1571,0
1591,0
1592,0
1600,0
1613,0
1620,0
1626,0
1651,0
1652,0
1655,0
1666,0
1674,0
1679,0
1688,0
1689,0
1691,0
1692,0
1709,0
1723,0
1726,0
1727,0
1731,0
1732,0
1734,0
1737,0
1754,0
1762,0
1770,0
1776,0
1779,0
1781,0
1788,0
1793,0
1796,0
1798,0
1800,0
1805,0
1825,0
1829,0
1840,0
1845,0
1853,0
1854,0
1859,0
1868,0
1870,0
1883,0
1885,0
1886,0
1888,0
1902,0
1903,0
1904,0
1917,0
1932,0
1939,0
1941,0
1944,0
1947,0
1951,0
1952,0
1953,0
1966,0
1972,1
1975,0
1977,0
1978,0
1983,0
1991,0
1992,0
1994,0
2008,0
2013,0
2017,0
2029,0
2030,0
2037,0
2040,0
2043,0
2048,0
2050,0
2061,0
2063,0
2066,0
2072,0
2078,0
2083,0
2085,0
2088,0
2091,0
2108,1
2114,0
2116,0
2121,0
2126,0
2138,0
2167,0
2168,0
2178,0
2179,0
2190,0
2191,0
2198,0
2203,0
2216,0
2217,0
2232,0
2241,0
2244,0
2246,0
2252,0
2257,0
2260,0
2265,0
2269,0
2271,0
2272,0
2278,0
2283,0
2288,0
2295,0
2301,0
2305,0
2311,0
2319,0
2320,0
2322,0
2323,0
2327,0
2337,0
2342,0
2351,0
2352,0
2356,0
2360,0
2362,0
2366,0
2369,0
2370,0
2374,0
2382,0
2393,0
2396,0
2397,0
2406,0
2409,0
2413,0
2425,0
2430,0
2434,0
2436,0
2437,0
2441,0
2447,0
2454,0
2455,0
2460,0
2466,0
2467,0
2468,0
2481,0
2486,0
2487,0
2490,0
2501,0
2502,0
2509,0
2511,0
2517,0
2522,0
2524,0
2529,0
2544,0
2547,0
2556,0
2563,0
2564,0
2568,0
2575,0
2577,0
2586,0
2598,0
2608,0
2614,0
2623,0
2628,0
2632,1
2636,0
2637,0
2643,0
2645,0
2648,0
2651,0
2655,0
2658,0
2668,0
2669,0
2670,0
2671,0
2681,0
2694,0
2704,0
2705,0
2716,0
2717,0
2723,0
2730,0
2734,0
2742,0
2744,0
2752,0
2754,0
2781,0
2783,0
2785,0
2788,0
2798,0
2809,0
2822,0
2823,0
2826,0
2836,0
2839,0
2840,0
2842,0
2850,0
2856,0
2858,0
2867,0
2878,0
2879,0
2903,0
2911,0
2912,0
2913,0
2931,0
2935,0
2938,0
2943,0
2946,0
2951,0
2961,0
2966,0
3004,0
3007,0
3016,0
3022,0
3025,1
3031,0
3035,0
3039,0
3041,0
3043,0
3047,0
3069,0
3071,0
3077,0
3080,0
3086,0
3090,0
3099,0
3103,0
3104,0
3110,0
3111,0
3116,0
3120,0
3130,0
3135,0
3136,0
3140,0
3148,0
3149,0
3157,0
3160,0
3164,0
3172,0
3176,0
3177,1
3183,0
3189,0
3193,1
3200,0
3202,0
3208,0
3218,0
3223,0
3234,0
3248,0
3253,0
3257,0
3273,0
3276,0
3283,0
3284,0
3290,0
3292,1
3294,0
3295,0
3304,0
3305,0
3307,0
3321,0
3324,0
3335,0
3336,0
3343,0
3346,0
3355,0
3363,0
3364,0
3374,0
3377,0
3385,0
3387,0
3388,0
3390,0
3401,0
3403,0
3410,0
3421,0
3422,0
3424,0
3425,0
3427,0
3429,0
3431,0
3436,0
3439,0
3441,0
3451,0
3455,0
3458,0
3463,0
3477,0
3500,0
3509,0
3524,0
3527,0
3532,0
3534,0
3540,0
3542,0
3566,0
3576,0
3585,0
3604,0
3622,0
3629,0
3633,0
3634,0
3653,0
3657,0
3659,0
3661,0
3668,1
3671,0
3673,0
3678,0
3682,0
3686,0
3689,0
3692,0
3694,0
3697,0
3699,0
3701,0
3702,0
3707,0
3710,0
3734,0
3742,0
3743,0
3751,0
3753,0
3760,0
3768,1
3771,0
3780,0
3782,0
3783,0
3785,0
3786,0
3787,0
3792,0
3800,0
3807,0
3808,0
3814,0
3816,0
3820,0
3821,0
3823,0
3836,1
3839,0
3840,0
3842,0
3843,0
3852,0
3856,0
3857,0
3858,0
3859,0
3863,0
3867,0
3869,0
3875,0
3878,0
3885,0
3888,0
3896,0
3905,0
3906,0
3911,0
3912,0
3919,0
3925,0
3934,0
3940,0
3944,0
3948,0
3955,0
3958,0
3967,0
3970,0
3976,0
3977,0
3981,0
3995,0
3999,0
4002,0
4003,0
4018,0
4019,0
4025,0
4036,0
4039,0
4059,0
4075,0
4076,0
4079,0
4080,0
4084,0
4092,0
4099,0
4102,0
4107,0
4112,0
4114,0
4129,0
4131,0
4134,0
4140,0
4142,0
4143,0
4149,0
4173,0
4178,0
4186,0
4191,0
4202,0
4204,0
4210,0
4211,0
4216,0
4235,0
4237,0
4245,0
4249,0
4258,0
4262,0
4276,0
4285,0
4286,0
4287,0
4288,0
4291,0
4295,0
4297,0
4313,0
4314,0
4318,0
4342,0
4346,0
4351,0
4357,0
4360,0
4361,0
4362,0
4363,0
4370,0
4384,0
4395,0
4397,0
4403,0
4412,0
4414,0
4421,0
4422,0
4427,0
4435,0
4438,0
4439,0
4443,0
4449,0
4459,0
4463,0
4464,0
4467,0
4481,0
4482,0
4483,0
4512,0
4525,0
4526,0
4549,0
4560,0
4573,0
4579,0
4580,0
4583,0
4590,0
4591,0
4599,0
4605,0
4609,0
4614,1
4618,0
4621,0
4623,0
4626,0
4635,0
4637,0
4653,0
4657,0
4661,0
4662,0
4671,0
4672,0
4674,0
4680,0
4687,0
4692,0
4697,0
4698,0
4706,0
4711,0
4715,0
4722,0
4724,0
4728,0
4741,0
4747,0
4749,0
4770,0
4782,0
4801,0
4803,0
4814,0
4819,0
4820,0
4843,0
4844,0
4862,0
4869,0
4873,0
4880,0
4883,0
4896,0
